id,city,state_id,street,street2,zip
__export__.res_partner_110968,PUEBLA,Puebla,CARRETERA FEDERAL PUEBLA-ATLIXCO 4703,"EMILIANO ZAPATA, SAN ANDRES CHOLULA",72490
__export__.res_partner_110969,VILLAHERMOSA,Tabasco,CARRETERA .VILLAHERMOSA CARDENAS KM 156 RANCHERIA GONZALEZ 1A SEC,VILLAHERMOSA,86280
__export__.res_partner_115455,MONTERREY,Nuevo León,CARRETERA MONTERREY COLOMBIA 330 66083 2541_EX HACIENDA EL CANADA 2541_EX HACIENDA EL CANADA MEXICO,MONTERREY,66083
__export__.res_partner_113324,SAN PEDRO CHOLULA,Puebla,5 SUR 511 SAN JUAN TLAUTLA,SAN JUAN TLAUTLA,72750
__export__.res_partner_113396,CORONANGO,Puebla,CAMINO ANTIGUO A TLAXCALA NO 525,SAN FRANCISCO,72680
__export__.res_partner_111903,SALTILLO,Coahuila,BOULEVARD MIGUEL RAMOS ARIZPE 157-2 MOLINOS DEL REY,SALTILLO,25903
__export__.res_partner_136658,TEPOTZOTLÁN,México,CERRADA CONOCIDA SAN SEBASTIAN,SAN SEBASTIÁN,54786
__export__.res_partner_112454,TOLUCA DE LERDO,México,JUAN FERNANDEZ ALBARRAN 252 BARRIO DE CANALEJA,CANALEJA,50200
__export__.res_partner_112284,CUAUTITLÁN IZCALLI,México,KM 39.5 DEL PARQUE INDUSTRIAL XHALA,XHALA,54720
__export__.res_partner_111372,TLAQUEPAQUE,Jalisco,CARRETERA LIBRE A ZAPOTLANEJO 1424 SAN PEDRITO,SAN PEDRITO	,45625
__export__.res_partner_137204,CUERNAVACA,Morelos,CALLE PERICÓN 107,MIRAVAL,62280
__export__.res_partner_137203,TEPOZTLÁN,Morelos,CARRETERA TEPOZTLAN-CUERNAVACA S/N,SAN MIGUEL,62520
__export__.res_partner_106475,BELIZE CITY,,"MILE 3-1/2, PHILIP GOLDSON HWY",BELIZE CITY,19240
__export__.res_partner_106452,FRANCISCO MORA,,BARRIO LA PADRERA,"CALLE BOULEVARD ECO, DISTRITO CENTRAL",11101
__export__.res_partner_93969,PORT-AU-PRINCE,,BLVD JEAN JACQUEST DESSALINES 400,  ,00000
__export__.res_partner_93974,SALVADOR,,KM 9 1/2 CARRETERA AL PUERTO DE SANTA TECLA,LA LIBERTAD,00000
